ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,Unnamed: 9
2010-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2010-08-16,2116676.0,42776238.0,17.248409314618716,17.248409314618716,16.827716404506067,16.827716404506067,0.0,835.0,
2010-08-17,1757410.0,34287897.0,16.57530065843847,16.57530065843847,16.28081562135962,16.44909278540468,-0.3786236191013865,812.0,
2010-08-18,1282701.0,25105680.0,16.491162076415947,16.57530065843847,16.32288491237088,16.32288491237088,-0.12620787303379546,544.0,
2010-08-19,1365692.0,26514430.0,16.32288491237088,16.53323136742721,16.15460774832582,16.32288491237088,0.0,537.0,
2010-08-20,700690.0,13664430.0,16.32288491237088,16.491162076415947,16.28081562135962,16.364954203382148,0.042069291011265164,339.0,
2010-08-23,976135.0,19268473.0,16.364954203382148,16.74357782248353,16.364954203382148,16.57530065843847,0.21034645505632585,446.0,
2010-08-24,792082.0,15440671.0,16.57530065843847,16.57530065843847,16.32288491237088,16.32288491237088,-0.25241574606759093,395.0,
2010-08-25,1061889.0,20227243.0,16.238746330348352,16.28081562135962,15.90219200225823,15.90219200225823,-0.4206929101126517,440.0,
2010-08-26,1295187.0,24066271.0,15.90219200225823,15.90219200225823,15.439429801134315,15.439429801134315,-0.46276220112391686,471.0,
2010-08-27,720041.0,13116084.0,15.439429801134315,15.439429801134315,15.229083346077994,15.313221928100514,-0.12620787303379546,248.0,
2010-08-30,1036846.0,18765276.0,15.313221928100514,15.64977625619064,14.934598308999131,15.018736891021668,-0.29448503707885615,458.0,
2010-08-31,1382897.0,24368087.0,15.018736891021668,15.144944764055458,14.640113271920276,14.724251853942805,-0.29448503707885615,498.0,
2010-09-01,696445.0,12279726.0,14.724251853942805,14.934598308999131,14.724251853942805,14.80839043596534,0.08413858202253033,327.0,
2010-09-02,691860.0,12363853.0,14.976667600010398,15.102875473044191,14.976667600010398,15.060806182032925,0.25241574606759093,288.0,
2010-09-03,5489724.0,104681986.0,15.313221928100514,16.112538457314553,15.313221928100514,16.028399875292028,0.9675936932590986,971.0,
2010-09-06,1151846.0,21577508.0,15.9442612932695,15.9442612932695,15.64977625619064,15.775984129224437,-0.25241574606759093,418.0,
2010-09-07,679087.0,12786970.0,15.818053420235701,15.986330584280761,15.6918455472019,15.860122711246964,0.08413858202253033,319.0,
2010-09-08,894132.0,16664903.0,15.860122711246964,15.90219200225823,15.607706965179378,15.607706965179378,-0.25241574606759093,384.0,
2010-09-09,2320097.0,42071796.0,15.607706965179378,15.73391483821317,14.892529017987867,15.144944764055458,-0.46276220112391686,767.0,
2010-09-10,802189.0,14452652.0,15.229083346077994,15.355291219111784,15.060806182032925,15.187014055066724,0.042069291011265164,358.0,
2010-09-13,860688.0,15642784.0,15.187014055066724,15.39736051012305,15.187014055066724,15.229083346077994,0.042069291011265164,478.0,
2010-09-14,944309.0,17073382.0,15.313221928100514,15.313221928100514,15.144944764055458,15.187014055066724,-0.042069291011265164,528.0,
2010-09-15,1550347.0,28361973.0,15.187014055066724,15.523568383156846,15.187014055066724,15.481499092145578,0.29448503707885615,553.0,
2010-09-16,1420211.0,26286671.0,15.481499092145578,15.818053420235701,15.355291219111784,15.775984129224437,0.29448503707885615,564.0,
2010-09-17,2108515.0,40103147.0,15.860122711246964,16.238746330348352,15.860122711246964,15.90219200225823,0.12620787303379546,856.0,
2010-09-20,920105.0,17309692.0,15.986330584280761,15.986330584280761,15.73391483821317,15.73391483821317,-0.16827716404506066,348.0,
2010-09-21,670700.0,12574378.0,15.818053420235701,15.860122711246964,15.6918455472019,15.775984129224437,0.042069291011265164,259.0,
2010-09-23,1171386.0,22279140.0,15.90219200225823,16.15460774832582,15.775984129224437,15.986330584280761,0.21034645505632585,440.0,
