頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001471001,1471,首利,上市,股票,電子零組件業,2000/03/06,ESVUFR,
2,TW0001582005,1582,信錦,上市,股票,電子零組件業,2009/12/17,ESVUFR,
3,TW0002059003,2059,川湖,上市,股票,電子零組件業,2008/06/25,ESVUFR,
4,TW0002308004,2308,台達電,上市,股票,電子零組件業,1988/12/19,ESVUFR,
5,TW0002313004,2313,華通,上市,股票,電子零組件業,1990/07/24,ESVUFR,
6,TW0002316007,2316,楠梓電,上市,股票,電子零組件業,1991/02/05,ESVUFR,
7,TW0002327004,2327,國巨,上市,股票,電子零組件業,1993/10/22,ESVUFR,
8,TW0002328002,2328,廣宇,上市,股票,電子零組件業,1993/11/09,ESVUFR,
9,TW0002355005,2355,敬鵬,上市,股票,電子零組件業,1996/10/14,ESVUFR,
10,TW0002367000,2367,燿華,上市,股票,電子零組件業,1997/12/13,ESVUFR,
11,TW0002368008,2368,金像電,上市,股票,電子零組件業,1998/03/09,ESVUFR,
12,TW0002375003,2375,凱美,上市,股票,電子零組件業,1998/08/29,ESVUFR,
13,TW0002383007,2383,台光電,上市,股票,電子零組件業,1998/11/27,ESVUFR,
14,TW0002385002,2385,群光,上市,股票,電子零組件業,1999/01/05,ESVUFR,
15,TW0002392008,2392,正崴,上市,股票,電子零組件業,1999/09/20,ESVUFR,
16,TW0002402005,2402,毅嘉,上市,股票,電子零組件業,2000/01/14,ESVUFR,
17,TW0002413002,2413,環科,上市,股票,電子零組件業,2000/09/11,ESVUFR,
18,TW0002415007,2415,錩新,上市,股票,電子零組件業,2000/09/11,ESVUFR,
19,TW0002420007,2420,新巨,上市,股票,電子零組件業,2000/09/11,ESVUFR,
20,TW0002421005,2421,建準,上市,股票,電子零組件業,2000/09/11,ESVUFR,
21,TW0002428000,2428,興勤,上市,股票,電子零組件業,2000/09/11,ESVUFR,
22,TW0002431004,2431,聯昌,上市,股票,電子零組件業,2000/09/11,ESVUFR,
23,TW0002440005,2440,太空梭,上市,股票,電子零組件業,2000/11/10,ESVUFR,
24,TW0002456001,2456,奇力新,上市,股票,電子零組件業,2001/09/26,ESVUFR,
25,TW0002457009,2457,飛宏,上市,股票,電子零組件業,2001/09/17,ESVUFR,
26,TW0002460003,2460,建通,上市,股票,電子零組件業,2001/09/17,ESVUFR,
27,TW0002462009,2462,良得電,上市,股票,電子零組件業,2001/09/17,ESVUFR,
28,TW0002467008,2467,志聖,上市,股票,電子零組件業,2001/09/17,ESVUFR,
29,TW0002472008,2472,立隆電,上市,股票,電子零組件業,2001/09/17,ESVUFR,
30,TW0002476009,2476,鉅祥,上市,股票,電子零組件業,2001/09/17,ESVUFR,
31,TW0002478005,2478,大毅,上市,股票,電子零組件業,2001/09/17,ESVUFR,
32,TW0002483005,2483,百容,上市,股票,電子零組件業,2001/09/17,ESVUFR,
33,TW0002484003,2484,希華,上市,股票,電子零組件業,2001/09/17,ESVUFR,
34,TW0002492006,2492,華新科,上市,股票,電子零組件業,2001/09/17,ESVUFR,
35,TW0002493004,2493,揚博,上市,股票,電子零組件業,2002/01/23,ESVUFR,
36,TW0003003000,3003,健和興,上市,股票,電子零組件業,2002/02/19,ESVUFR,
37,TW0003011003,3011,今皓,上市,股票,電子零組件業,2002/07/22,ESVUFR,
38,TW0003015004,3015,全漢,上市,股票,電子零組件業,2002/10/16,ESVUFR,
39,TW0003021002,3021,鴻名,上市,股票,電子零組件業,2002/08/26,ESVUFR,
40,TW0003023008,3023,信邦,上市,股票,電子零組件業,2002/08/26,ESVUFR,
41,TW0003026001,3026,禾伸堂,上市,股票,電子零組件業,2002/08/26,ESVUFR,
42,TW0003032009,3032,偉訓,上市,股票,電子零組件業,2002/08/26,ESVUFR,
43,TW0003037008,3037,欣興,上市,股票,電子零組件業,2002/08/26,ESVUFR,
44,TW0003042008,3042,晶技,上市,股票,電子零組件業,2002/08/26,ESVUFR,
45,TW0003044004,3044,健鼎,上市,股票,電子零組件業,2002/08/26,ESVUFR,
