頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002101003,2101,南港,上市,股票,橡膠工業,1963/11/01,ESVUFR,
2,TW0002102001,2102,泰豐,上市,股票,橡膠工業,1979/07/16,ESVUFR,
3,TW0002103009,2103,台橡,上市,股票,橡膠工業,1982/09/25,ESVUFR,
4,TW0002104007,2104,國際中橡,上市,股票,橡膠工業,1986/07/15,ESVUFR,
5,TW0002105004,2105,正新,上市,股票,橡膠工業,1987/12/07,ESVUFR,
6,TW0002106002,2106,建大,上市,股票,橡膠工業,1990/12/20,ESVUFR,
7,TW0002107000,2107,厚生,上市,股票,橡膠工業,1992/03/03,ESVUFR,
8,TW0002108008,2108,南帝,上市,股票,橡膠工業,1992/10/27,ESVUFR,
9,TW0002109006,2109,華豐,上市,股票,橡膠工業,2000/05/08,ESVUFR,
10,TW0002114006,2114,鑫永銓,上市,股票,橡膠工業,2010/12/29,ESVUFR,
11,TW0006582000,6582,申豐,上市,股票,橡膠工業,2017/06/14,ESVUFR,
