頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001316008,1316,上曜,上市,股票,建材營造業,1992/10/15,ESVUFR,
2,TW0001436004,1436,華友聯,上市,股票,建材營造業,1988/04/11,ESVUFR,
3,TW0001438000,1438,三地開發,上市,股票,建材營造業,1988/12/15,ESVUFR,
4,TW0001442002,1442,名軒,上市,股票,建材營造業,1989/11/16,ESVUFR,
5,TW0001453009,1453,大將,上市,股票,建材營造業,1993/04/19,ESVUFR,
6,TW0001456002,1456,怡華,上市,股票,建材營造業,1993/12/09,ESVUFR,
7,TW0001805000,1805,寶徠,上市,股票,建材營造業,1989/10/20,ESVUFR,
8,TW0001808004,1808,潤隆,上市,股票,建材營造業,1994/10/26,ESVUFR,
9,TW0002501004,2501,國建,上市,股票,建材營造業,1967/10/28,ESVUFR,
10,TW0002504008,2504,國產,上市,股票,建材營造業,1978/03/14,ESVUFR,
11,TW0002505005,2505,國揚,上市,股票,建材營造業,1979/11/14,ESVUFR,
12,TW0002506003,2506,太設,上市,股票,建材營造業,1980/02/02,ESVUFR,
13,TW0002509007,2509,全坤建,上市,股票,建材營造業,1988/05/20,ESVUFR,
14,TW0002511003,2511,太子,上市,股票,建材營造業,1991/04/24,ESVUFR,
15,TW0002515004,2515,中工,上市,股票,建材營造業,1993/03/02,ESVUFR,
16,TW0002516002,2516,新建,上市,股票,建材營造業,1993/05/25,ESVUFR,
17,TW0002520004,2520,冠德,上市,股票,建材營造業,1993/10/27,ESVUFR,
18,TW0002524006,2524,京城,上市,股票,建材營造業,1994/10/18,ESVUFR,
19,TW0002527009,2527,宏璟,上市,股票,建材營造業,1995/03/06,ESVUFR,
20,TW0002528007,2528,皇普,上市,股票,建材營造業,1995/03/10,ESVUFR,
21,TW0002530003,2530,華建,上市,股票,建材營造業,1995/10/12,ESVUFR,
22,TW0002534005,2534,宏盛,上市,股票,建材營造業,1996/02/12,ESVUFR,
23,TW0002535002,2535,達欣工,上市,股票,建材營造業,1996/03/11,ESVUFR,
24,TW0002536000,2536,宏普,上市,股票,建材營造業,1996/03/14,ESVUFR,
25,TW0002537008,2537,聯上發,上市,股票,建材營造業,1996/09/06,ESVUFR,
26,TW0002538006,2538,基泰,上市,股票,建材營造業,1996/11/01,ESVUFR,
27,TW0002539004,2539,櫻花建,上市,股票,建材營造業,1997/07/16,ESVUFR,
28,TW0002540002,2540,愛山林,上市,股票,建材營造業,1989/12/26,ESVUFR,
29,TW0002542008,2542,興富發,上市,股票,建材營造業,1999/05/03,ESVUFR,
30,TW0002543006,2543,皇昌,上市,股票,建材營造業,1999/10/15,ESVUFR,
31,TW0002545001,2545,皇翔,上市,股票,建材營造業,2000/09/11,ESVUFR,
32,TW0002546009,2546,根基,上市,股票,建材營造業,2000/09/11,ESVUFR,
33,TW0002547007,2547,日勝生,上市,股票,建材營造業,2000/12/22,ESVUFR,
34,TW0002548005,2548,華固,上市,股票,建材營造業,2002/08/26,ESVUFR,
35,TW0002597002,2597,潤弘,上市,股票,建材營造業,2010/03/26,ESVUFR,
36,TW0002841004,2841,台開,上市,股票,建材營造業,1999/01/08,ESVUFR,
37,KYG8190L1095,2923,鼎固-KY,上市,股票,建材營造業,2012/12/07,ESVUFR,
38,TW0003052007,3052,夆典,上市,股票,建材營造業,1995/11/25,ESVUFR,
39,TW0003056008,3056,總太,上市,股票,建材營造業,2003/03/03,ESVUFR,
40,TW0003266003,3266,昇陽,上市,股票,建材營造業,2014/12/24,ESVUFR,
41,TW0003703005,3703,欣陸,上市,股票,建材營造業,2010/04/08,ESVUFR,
42,TW0005515001,5515,建國,上市,股票,建材營造業,2003/10/06,ESVUFR,
43,TW0005519003,5519,隆大,上市,股票,建材營造業,2014/02/10,ESVUFR,
44,TW0005521009,5521,工信,上市,股票,建材營造業,2012/12/18,ESVUFR,
45,TW0005522007,5522,遠雄,上市,股票,建材營造業,2007/08/06,ESVUFR,
46,TW0005525000,5525,順天,上市,股票,建材營造業,2004/11/26,ESVUFR,
47,TW0005531008,5531,鄉林,上市,股票,建材營造業,2005/01/31,ESVUFR,
48,TW0005533004,5533,皇鼎,上市,股票,建材營造業,2008/04/30,ESVUFR,
49,TW0005534002,5534,長虹,上市,股票,建材營造業,2004/05/24,ESVUFR,
50,KYG566541093,5546,永固-KY,上市,股票,建材營造業,2020/05/20,ESVUFR,
51,TW0006177009,6177,達麗,上市,股票,建材營造業,2013/08/01,ESVUFR,
52,TW0009906008,9906,欣巴巴,上市,股票,建材營造業,1990/12/15,ESVUFR,
53,TW0009946004,9946,三發地產,上市,股票,建材營造業,2013/09/17,ESVUFR,
