頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001503001,1503,士電,上市,股票,電機機械,1969/12/15,ESVUFR,
2,TW0001504009,1504,東元,上市,股票,電機機械,1973/11/05,ESVUFR,
3,TW0001506004,1506,正道,上市,股票,電機機械,1980/08/11,ESVUFR,
4,TW0001507002,1507,永大,上市,股票,電機機械,1989/11/09,ESVUFR,
5,TW0001513000,1513,中興電,上市,股票,電機機械,1994/03/08,ESVUFR,
6,TW0001514008,1514,亞力,上市,股票,電機機械,1994/03/26,ESVUFR,
7,TW0001515005,1515,力山,上市,股票,電機機械,1995/02/04,ESVUFR,
8,TW0001517001,1517,利奇,上市,股票,電機機械,1995/11/14,ESVUFR,
9,TW0001519007,1519,華城,上市,股票,電機機械,1997/04/16,ESVUFR,
10,TW0001526002,1526,日馳,上市,股票,電機機械,2000/03/27,ESVUFR,
11,TW0001527000,1527,鑽全,上市,股票,電機機械,2000/06/21,ESVUFR,
12,TW0001528008,1528,恩德,上市,股票,電機機械,2000/09/11,ESVUFR,
13,TW0001529006,1529,樂士,上市,股票,電機機械,2000/09/11,ESVUFR,
14,TW0001530004,1530,亞崴,上市,股票,電機機械,2000/09/11,ESVUFR,
15,TW0001531002,1531,高林股,上市,股票,電機機械,2000/09/11,ESVUFR,
16,TW0001532000,1532,勤美,上市,股票,電機機械,2000/09/11,ESVUFR,
17,TW0001535003,1535,中宇,上市,股票,電機機械,2001/09/17,ESVUFR,
18,TW0001537009,1537,廣隆,上市,股票,電機機械,2002/01/22,ESVUFR,
19,TW0001538007,1538,正峰,上市,股票,電機機械,2002/08/26,ESVUFR,
20,TW0001539005,1539,巨庭,上市,股票,電機機械,2002/10/29,ESVUFR,
21,TW0001540003,1540,喬福,上市,股票,電機機械,2002/08/26,ESVUFR,
22,TW0001541001,1541,錩泰,上市,股票,電機機械,2003/03/19,ESVUFR,
23,TW0001558005,1558,伸興,上市,股票,電機機械,2014/12/23,ESVUFR,
24,TW0001560001,1560,中砂,上市,股票,電機機械,2005/01/31,ESVUFR,
25,TW0001583003,1583,程泰,上市,股票,電機機械,2008/01/24,ESVUFR,
26,KYG984291065,1589,永冠-KY,上市,股票,電機機械,2012/04/27,ESVUFR,
27,KYG014081064,1590,亞德客-KY,上市,股票,電機機械,2010/12/13,ESVUFR,
28,TW0001597003,1597,直得,上市,股票,電機機械,2020/12/23,ESVUFR,
29,TW0002049004,2049,上銀,上市,股票,電機機械,2009/06/26,ESVUFR,
30,TW0002371002,2371,大同,上市,股票,電機機械,1962/02/09,ESVUFR,
31,TW0003167003,3167,大量,上市,股票,電機機械,2013/10/21,ESVUFR,
32,TW0004526009,4526,東台,上市,股票,電機機械,2003/09/15,ESVUFR,
33,TW0004532007,4532,瑞智,上市,股票,電機機械,2003/08/04,ESVUFR,
34,TW0004540000,4540,全球傳動,上市,股票,電機機械,2018/08/15,ESVUFR,
35,KYG5479W1033,4552,力達-KY,上市,股票,電機機械,2016/07/20,ESVUFR,
36,TW0004555008,4555,氣立,上市,股票,電機機械,2015/10/27,ESVUFR,
37,KYG853531039,4560,強信-KY,上市,股票,電機機械,2017/05/26,ESVUFR,
38,TW0004562004,4562,穎漢,上市,股票,電機機械,2017/08/21,ESVUFR,
39,TW0004564000,4564,元翎,上市,股票,電機機械,2019/03/07,ESVUFR,
40,TW0004566005,4566,時碩工業,上市,股票,電機機械,2018/02/05,ESVUFR,
41,KYG5258M1024,4571,鈞興-KY,上市,股票,電機機械,2019/09/17,ESVUFR,
42,TW0004572003,4572,駐龍,上市,股票,電機機械,2019/09/10,ESVUFR,
43,TW0004576004,4576,大銀微系統,上市,股票,電機機械,2019/09/04,ESVUFR,
44,KYG314551014,5288,豐祥-KY,上市,股票,電機機械,2014/09/25,ESVUFR,
45,TW0008222001,8222,寶一,上市,股票,電機機械,2015/01/27,ESVUFR,
46,TW0008374000,8374,羅昇,上市,股票,電機機械,2008/12/25,ESVUFR,
47,TW0008996000,8996,高力,上市,股票,電機機械,2014/02/14,ESVUFR,
