頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001301000,1301,台塑,上市,股票,塑膠工業,1964/07/27,ESVUFR,
2,TW0001303006,1303,南亞,上市,股票,塑膠工業,1967/11/05,ESVUFR,
3,TW0001304004,1304,台聚,上市,股票,塑膠工業,1972/05/20,ESVUFR,
4,TW0001305001,1305,華夏,上市,股票,塑膠工業,1973/03/05,ESVUFR,
5,TW0001307007,1307,三芳,上市,股票,塑膠工業,1985/11/23,ESVUFR,
6,TW0001308005,1308,亞聚,上市,股票,塑膠工業,1986/06/20,ESVUFR,
7,TW0001309003,1309,台達化,上市,股票,塑膠工業,1986/06/27,ESVUFR,
8,TW0001310001,1310,台苯,上市,股票,塑膠工業,1987/08/06,ESVUFR,
9,TW0001312007,1312,國喬,上市,股票,塑膠工業,1988/12/21,ESVUFR,
10,TW0001313005,1313,聯成,上市,股票,塑膠工業,1989/03/27,ESVUFR,
11,TW0001314003,1314,中石化,上市,股票,塑膠工業,1991/07/12,ESVUFR,
12,TW0001315000,1315,達新,上市,股票,塑膠工業,1992/05/09,ESVUFR,
13,TW0001321008,1321,大洋,上市,股票,塑膠工業,1999/01/26,ESVUFR,
14,TW0001323004,1323,永裕,上市,股票,塑膠工業,2000/09/11,ESVUFR,
15,TW0001324002,1324,地球,上市,股票,塑膠工業,2000/09/11,ESVUFR,
16,TW0001325009,1325,恆大,上市,股票,塑膠工業,2000/09/11,ESVUFR,
17,TW0001326007,1326,台化,上市,股票,塑膠工業,1984/12/20,ESVUFR,
18,KYG0539R1039,1337,再生-KY,上市,股票,塑膠工業,2011/07/01,ESVUFR,
19,KYG935971054,1340,勝悅-KY,上市,股票,塑膠工業,2013/12/06,ESVUFR,
20,KYG3730M1050,1341,富林-KY,上市,股票,塑膠工業,2018/12/24,ESVUFR,
21,TW0004306006,4306,炎洲,上市,股票,塑膠工業,2008/01/21,ESVUFR,
