頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002002003,2002,中鋼,上市,股票,鋼鐵工業,1974/12/26,ESVUFR,
2,TW0002006004,2006,東和鋼鐵,上市,股票,鋼鐵工業,1988/07/13,ESVUFR,
3,TW0002007002,2007,燁興,上市,股票,鋼鐵工業,1988/10/04,ESVUFR,
4,TW0002008000,2008,高興昌,上市,股票,鋼鐵工業,1988/12/28,ESVUFR,
5,TW0002009008,2009,第一銅,上市,股票,鋼鐵工業,1989/10/20,ESVUFR,
6,TW0002010006,2010,春源,上市,股票,鋼鐵工業,1989/12/22,ESVUFR,
7,TW0002012002,2012,春雨,上市,股票,鋼鐵工業,1991/10/17,ESVUFR,
8,TW0002013000,2013,中鋼構,上市,股票,鋼鐵工業,1992/01/21,ESVUFR,
9,TW0002014008,2014,中鴻,上市,股票,鋼鐵工業,1992/02/20,ESVUFR,
10,TW0002015005,2015,豐興,上市,股票,鋼鐵工業,1992/05/25,ESVUFR,
11,TW0002017001,2017,官田鋼,上市,股票,鋼鐵工業,1992/11/02,ESVUFR,
12,TW0002020005,2020,美亞,上市,股票,鋼鐵工業,1993/04/27,ESVUFR,
13,TW0002022001,2022,聚亨,上市,股票,鋼鐵工業,1995/03/27,ESVUFR,
14,TW0002023009,2023,燁輝,上市,股票,鋼鐵工業,1995/07/28,ESVUFR,
15,TW0002024007,2024,志聯,上市,股票,鋼鐵工業,1995/12/30,ESVUFR,
16,TW0002025004,2025,千興,上市,股票,鋼鐵工業,1996/02/08,ESVUFR,
17,TW0002027000,2027,大成鋼,上市,股票,鋼鐵工業,1996/10/24,ESVUFR,
18,TW0002028008,2028,威致,上市,股票,鋼鐵工業,1996/12/13,ESVUFR,
19,TW0002029006,2029,盛餘,上市,股票,鋼鐵工業,1997/01/11,ESVUFR,
20,TW0002030004,2030,彰源,上市,股票,鋼鐵工業,1998/12/24,ESVUFR,
21,TW0002031002,2031,新光鋼,上市,股票,鋼鐵工業,2000/09/11,ESVUFR,
22,TW0002032000,2032,新鋼,上市,股票,鋼鐵工業,2000/09/11,ESVUFR,
23,TW0002033008,2033,佳大,上市,股票,鋼鐵工業,2000/09/11,ESVUFR,
24,TW0002034006,2034,允強,上市,股票,鋼鐵工業,2001/09/17,ESVUFR,
25,TW0002038007,2038,海光,上市,股票,鋼鐵工業,2008/12/30,ESVUFR,
26,TW0002069002,2069,運錩,上市,股票,鋼鐵工業,2016/03/22,ESVUFR,
27,TW0002211000,2211,長榮鋼,上市,股票,鋼鐵工業,2021/04/12,ESVUFR,
28,TW0003004008,3004,豐達科,上市,股票,鋼鐵工業,2002/02/25,ESVUFR,
29,TW0005007009,5007,三星,上市,股票,鋼鐵工業,2011/09/16,ESVUFR,
30,KYG8919A1031,5538,東明-KY,上市,股票,鋼鐵工業,2013/12/16,ESVUFR,
31,TW0009958009,9958,世紀鋼,上市,股票,鋼鐵工業,2008/03/12,ESVUFR,
