頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001603009,1603,華電,上市,股票,電器電纜,1968/06/03,ESVUFR,
2,TW0001604007,1604,聲寶,上市,股票,電器電纜,1970/12/14,ESVUFR,
3,TW0001605004,1605,華新,上市,股票,電器電纜,1972/11/03,ESVUFR,
4,TW0001608008,1608,華榮,上市,股票,電器電纜,1988/07/11,ESVUFR,
5,TW0001609006,1609,大亞,上市,股票,電器電纜,1988/12/12,ESVUFR,
6,TW0001611002,1611,中電,上市,股票,電器電纜,1990/01/16,ESVUFR,
7,TW0001612000,1612,宏泰,上市,股票,電器電纜,1993/05/08,ESVUFR,
8,TW0001614006,1614,三洋電,上市,股票,電器電纜,1997/09/18,ESVUFR,
9,TW0001615003,1615,大山,上市,股票,電器電纜,2000/03/30,ESVUFR,
10,TW0001616001,1616,億泰,上市,股票,電器電纜,2000/09/11,ESVUFR,
11,TW0001617009,1617,榮星,上市,股票,電器電纜,2000/09/11,ESVUFR,
12,TW0001618007,1618,合機,上市,股票,電器電纜,2000/09/11,ESVUFR,
13,KYG0135T1076,1626,艾美特-KY,上市,股票,電器電纜,2013/03/21,ESVUFR,
14,TW0004930003,4930,燦星網,上市,股票,電器電纜,2010/06/21,ESVUFR,
15,TW0005283006,5283,禾聯碩,上市,股票,電器電纜,2019/05/24,ESVUFR,
