頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001708006,1708,東鹼,上市,股票,化學工業,1986/06/16,ESVUFR,
2,TW0001709004,1709,和益,上市,股票,化學工業,1986/07/03,ESVUFR,
3,TW0001710002,1710,東聯,上市,股票,化學工業,1987/10/21,ESVUFR,
4,TW0001711000,1711,永光,上市,股票,化學工業,1988/12/27,ESVUFR,
5,TW0001712008,1712,興農,上市,股票,化學工業,1989/12/14,ESVUFR,
6,TW0001713006,1713,國化,上市,股票,化學工業,1990/01/31,ESVUFR,
7,TW0001714004,1714,和桐,上市,股票,化學工業,1991/08/30,ESVUFR,
8,TW0001717007,1717,長興,上市,股票,化學工業,1994/03/31,ESVUFR,
9,TW0001718005,1718,中纖,上市,股票,化學工業,1963/12/02,ESVUFR,
10,TW0001721009,1721,三晃,上市,股票,化學工業,1996/05/16,ESVUFR,
11,TW0001722007,1722,台肥,上市,股票,化學工業,1998/03/24,ESVUFR,
12,TW0001723005,1723,中碳,上市,股票,化學工業,1998/11/27,ESVUFR,
13,TW0001725000,1725,元禎,上市,股票,化學工業,2000/09/11,ESVUFR,
14,TW0001726008,1726,永記,上市,股票,化學工業,2000/09/11,ESVUFR,
15,TW0001727006,1727,中華化,上市,股票,化學工業,2000/09/11,ESVUFR,
16,TW0001730000,1730,花仙子,上市,股票,化學工業,2001/09/17,ESVUFR,
17,TW0001732006,1732,毛寶,上市,股票,化學工業,2001/09/17,ESVUFR,
18,TW0001735009,1735,日勝化,上市,股票,化學工業,2002/08/26,ESVUFR,
19,TW0001773000,1773,勝一,上市,股票,化學工業,2009/02/27,ESVUFR,
20,TW0001776003,1776,展宇,上市,股票,化學工業,2016/05/09,ESVUFR,
21,TW0003708004,3708,上緯投控,上市,股票,化學工業,2016/08/31,ESVUFR,
22,TW0004720008,4720,德淵,上市,股票,化學工業,2015/06/24,ESVUFR,
23,TW0004722004,4722,國精化,上市,股票,化學工業,2012/08/15,ESVUFR,
24,TW0004739008,4739,康普,上市,股票,化學工業,2017/09/08,ESVUFR,
25,TW0004755004,4755,三福化,上市,股票,化學工業,2013/11/27,ESVUFR,
26,KYG5138S1057,4763,材料-KY,上市,股票,化學工業,2015/11/09,ESVUFR,
27,TW0004764006,4764,雙鍵,上市,股票,化學工業,2018/01/04,ESVUFR,
28,TW0004766001,4766,南寶,上市,股票,化學工業,2018/11/28,ESVUFR,
