頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002314002,2314,台揚,上市,股票,通信網路業,1990/08/08,ESVUFR,
2,TW0002321007,2321,東訊,上市,股票,通信網路業,1991/11/08,ESVUFR,
3,TW0002332004,2332,友訊,上市,股票,通信網路業,1994/10/17,ESVUFR,
4,TW0002345006,2345,智邦,上市,股票,通信網路業,1995/11/15,ESVUFR,
5,TW0002412004,2412,中華電,上市,股票,通信網路業,2000/10/27,ESVUFR,
6,TW0002419009,2419,仲琦,上市,股票,通信網路業,2000/09/11,ESVUFR,
7,TW0002439007,2439,美律,上市,股票,通信網路業,2000/09/11,ESVUFR,
8,TW0002444007,2444,兆勁,上市,股票,通信網路業,2000/12/08,ESVUFR,
9,TW0002450004,2450,神腦,上市,股票,通信網路業,2001/05/24,ESVUFR,
10,TW0002455003,2455,全新,上市,股票,通信網路業,2002/01/24,ESVUFR,
11,TW0002485000,2485,兆赫,上市,股票,通信網路業,2001/09/17,ESVUFR,
12,TW0002498003,2498,宏達電,上市,股票,通信網路業,2002/03/26,ESVUFR,
13,TW0003025003,3025,星通,上市,股票,通信網路業,2002/08/26,ESVUFR,
14,TW0003027009,3027,盛達,上市,股票,通信網路業,2002/08/26,ESVUFR,
15,TW0003045001,3045,台灣大,上市,股票,通信網路業,2002/08/26,ESVUFR,
16,TW0003047007,3047,訊舟,上市,股票,通信網路業,2002/08/26,ESVUFR,
17,TW0003062006,3062,建漢,上市,股票,通信網路業,2003/07/28,ESVUFR,
18,TW0003138004,3138,耀登,上市,股票,通信網路業,2020/12/11,ESVUFR,
19,TW0003311007,3311,閎暉,上市,股票,通信網路業,2004/03/08,ESVUFR,
20,TW0003380002,3380,明泰,上市,股票,通信網路業,2004/12/20,ESVUFR,
21,TW0003419008,3419,譁裕,上市,股票,通信網路業,2008/01/21,ESVUFR,
22,TW0003596003,3596,智易,上市,股票,通信網路業,2009/03/11,ESVUFR,
23,TW0003669008,3669,圓展,上市,股票,通信網路業,2011/08/25,ESVUFR,
24,TW0003682001,3682,亞太電,上市,股票,通信網路業,2013/08/05,ESVUFR,
25,TW0003694006,3694,海華,上市,股票,通信網路業,2011/05/03,ESVUFR,
26,TW0003704003,3704,合勤控,上市,股票,通信網路業,2010/08/16,ESVUFR,
27,TW0004904008,4904,遠傳,上市,股票,通信網路業,2005/08/24,ESVUFR,
28,TW0004906003,4906,正文,上市,股票,通信網路業,2003/06/30,ESVUFR,
29,KYG6956N1034,4977,眾達-KY,上市,股票,通信網路業,2013/11/20,ESVUFR,
30,TW0005388003,5388,中磊,上市,股票,通信網路業,2007/12/03,ESVUFR,
31,TW0006136005,6136,富爾特,上市,股票,通信網路業,2003/08/25,ESVUFR,
32,TW0006142003,6142,友勁,上市,股票,通信網路業,2003/08/04,ESVUFR,
33,TW0006152002,6152,百一,上市,股票,通信網路業,2009/12/08,ESVUFR,
34,TW0006216005,6216,居易,上市,股票,通信網路業,2004/09/27,ESVUFR,
35,TW0006285000,6285,啟碁,上市,股票,通信網路業,2003/09/22,ESVUFR,
36,TW0006416001,6416,瑞祺電通,上市,股票,通信網路業,2018/04/16,ESVUFR,
37,TW0006426000,6426,統新,上市,股票,通信網路業,2021/03/24,ESVUFR,
38,TW0006442007,6442,光聖,上市,股票,通信網路業,2015/07/14,ESVUFR,
39,TW0006674005,6674,鋐寶科技,上市,股票,通信網路業,2018/11/28,ESVUFR,
40,TW0008011008,8011,台通,上市,股票,通信網路業,2011/09/19,ESVUFR,
41,TW0008101007,8101,華冠,上市,股票,通信網路業,2004/07/01,ESVUFR,
