頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002301009,2301,光寶科,上市,股票,電腦及週邊設備業,1995/11/17,ESVUFR,
2,TW0002305000,2305,全友,上市,股票,電腦及週邊設備業,1988/10/21,ESVUFR,
3,TW0002324001,2324,仁寶,上市,股票,電腦及週邊設備業,1992/02/18,ESVUFR,
4,TW0002331006,2331,精英,上市,股票,電腦及週邊設備業,1994/09/21,ESVUFR,
5,TW0002352002,2352,佳世達,上市,股票,電腦及週邊設備業,1996/07/22,ESVUFR,
6,TW0002353000,2353,宏碁,上市,股票,電腦及週邊設備業,1996/09/18,ESVUFR,
7,TW0002356003,2356,英業達,上市,股票,電腦及週邊設備業,1996/11/13,ESVUFR,
8,TW0002357001,2357,華碩,上市,股票,電腦及週邊設備業,1996/11/14,ESVUFR,
9,TW0002362001,2362,藍天,上市,股票,電腦及週邊設備業,1997/04/02,ESVUFR,
10,TW0002364007,2364,倫飛,上市,股票,電腦及週邊設備業,1997/08/11,ESVUFR,
11,TW0002365004,2365,昆盈,上市,股票,電腦及週邊設備業,1997/11/03,ESVUFR,
12,TW0002376001,2376,技嘉,上市,股票,電腦及週邊設備業,1998/09/24,ESVUFR,
13,TW0002377009,2377,微星,上市,股票,電腦及週邊設備業,1998/10/31,ESVUFR,
14,TW0002380003,2380,虹光,上市,股票,電腦及週邊設備業,1998/12/03,ESVUFR,
15,TW0002382009,2382,廣達,上市,股票,電腦及週邊設備業,1999/01/08,ESVUFR,
16,TW0002387008,2387,精元,上市,股票,電腦及週邊設備業,1999/01/25,ESVUFR,
17,TW0002395001,2395,研華,上市,股票,電腦及週邊設備業,1999/12/13,ESVUFR,
18,TW0002397007,2397,友通,上市,股票,電腦及週邊設備業,2000/01/15,ESVUFR,
19,TW0002399003,2399,映泰,上市,股票,電腦及週邊設備業,1999/12/16,ESVUFR,
20,TW0002405008,2405,浩鑫,上市,股票,電腦及週邊設備業,2000/03/17,ESVUFR,
21,TW0002417003,2417,圓剛,上市,股票,電腦及週邊設備業,2000/09/11,ESVUFR,
22,TW0002424009,2424,隴華,上市,股票,電腦及週邊設備業,2000/09/11,ESVUFR,
