頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002347002,2347,聯強,上市,股票,電子通路業,1995/12/13,ESVUFR,
2,TW0002414000,2414,精技,上市,股票,電子通路業,2000/09/11,ESVUFR,
3,TW0002430006,2430,燦坤,上市,股票,電子通路業,2000/09/11,ESVUFR,
4,TW0003010005,3010,華立,上市,股票,電子通路業,2002/07/22,ESVUFR,
5,TW0003028007,3028,增你強,上市,股票,電子通路業,2002/08/26,ESVUFR,
6,TW0003033007,3033,威健,上市,股票,電子通路業,2002/08/26,ESVUFR,
7,TW0003036000,3036,文曄,上市,股票,電子通路業,2002/08/26,ESVUFR,
8,TW0003048005,3048,益登,上市,股票,電子通路業,2002/10/01,ESVUFR,
9,TW0003055000,3055,蔚華科,上市,股票,電子通路業,2002/12/12,ESVUFR,
10,TW0003209003,3209,全科,上市,股票,電子通路業,2008/11/26,ESVUFR,
11,TW0003312005,3312,弘憶股,上市,股票,電子通路業,2010/12/29,ESVUFR,
12,TW0003528006,3528,安馳,上市,股票,電子通路業,2016/05/18,ESVUFR,
13,TW0003702007,3702,大聯大,上市,股票,電子通路業,2005/11/09,ESVUFR,
14,TW0005434005,5434,崇越,上市,股票,電子通路業,2003/08/25,ESVUFR,
15,TW0006189004,6189,豐藝,上市,股票,電子通路業,2004/05/24,ESVUFR,
16,TW0006281009,6281,全國電,上市,股票,電子通路業,2005/12/08,ESVUFR,
17,TW0006776008,6776,展碁國際,上市,股票,電子通路業,2021/03/31,ESVUFR,
18,TW0008070004,8070,長華*,上市,股票,電子通路業,2007/12/31,ESVUFR,
19,TW0008072000,8072,陞泰,上市,股票,電子通路業,2005/08/19,ESVUFR,
20,TW0008112004,8112,至上,上市,股票,電子通路業,2007/12/31,ESVUFR,
