頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0002302007,2302,麗正,上市,股票,半導體業,1985/01/15,ESVUFR,
2,TW0002303005,2303,聯電,上市,股票,半導體業,1985/07/16,ESVUFR,
3,TW0002329000,2329,華泰,上市,股票,半導體業,1994/04/20,ESVUFR,
4,TW0002330008,2330,台積電,上市,股票,半導體業,1994/09/05,ESVUFR,
5,TW0002337003,2337,旺宏,上市,股票,半導體業,1995/03/15,ESVUFR,
6,TW0002338001,2338,光罩,上市,股票,半導體業,1995/04/17,ESVUFR,
7,TW0002342003,2342,茂矽,上市,股票,半導體業,1995/09/19,ESVUFR,
8,TW0002344009,2344,華邦電,上市,股票,半導體業,1995/10/18,ESVUFR,
9,TW0002351004,2351,順德,上市,股票,半導體業,1996/04/25,ESVUFR,
10,TW0002363009,2363,矽統,上市,股票,半導體業,1997/08/01,ESVUFR,
11,TW0002369006,2369,菱生,上市,股票,半導體業,1998/04/10,ESVUFR,
12,TW0002379005,2379,瑞昱,上市,股票,半導體業,1998/10/26,ESVUFR,
13,TW0002388006,2388,威盛,上市,股票,半導體業,1999/03/05,ESVUFR,
14,TW0002401007,2401,凌陽,上市,股票,半導體業,2000/01/27,ESVUFR,
15,TW0002408002,2408,南亞科,上市,股票,半導體業,2000/08/17,ESVUFR,
16,TW0002434008,2434,統懋,上市,股票,半導體業,2000/09/11,ESVUFR,
17,TW0002436003,2436,偉詮電,上市,股票,半導體業,2000/09/11,ESVUFR,
18,TW0002441003,2441,超豐,上市,股票,半導體業,2000/10/26,ESVUFR,
19,TW0002449006,2449,京元電子,上市,股票,半導體業,2001/05/09,ESVUFR,
20,TW0002451002,2451,創見,上市,股票,半導體業,2001/05/03,ESVUFR,
21,TW0002454006,2454,聯發科,上市,股票,半導體業,2001/07/23,ESVUFR,
22,TW0002458007,2458,義隆,上市,股票,半導體業,2001/09/17,ESVUFR,
23,TW0002481009,2481,強茂,上市,股票,半導體業,2001/09/17,ESVUFR,
24,TW0003006003,3006,晶豪科,上市,股票,半導體業,2002/03/04,ESVUFR,
25,TW0003014007,3014,聯陽,上市,股票,半導體業,2002/10/29,ESVUFR,
26,TW0003016002,3016,嘉晶,上市,股票,半導體業,2002/12/24,ESVUFR,
27,TW0003034005,3034,聯詠,上市,股票,半導體業,2002/08/26,ESVUFR,
28,TW0003035002,3035,智原,上市,股票,半導體業,2002/08/26,ESVUFR,
29,TW0003041000,3041,揚智,上市,股票,半導體業,2002/08/26,ESVUFR,
30,TW0003054003,3054,立萬利,上市,股票,半導體業,2002/11/18,ESVUFR,
31,TW0003094009,3094,聯傑,上市,股票,半導體業,2007/08/06,ESVUFR,
32,TW0003189007,3189,景碩,上市,股票,半導體業,2004/11/01,ESVUFR,
33,TW0003257002,3257,虹冠電,上市,股票,半導體業,2011/03/21,ESVUFR,
34,TW0003413001,3413,京鼎,上市,股票,半導體業,2015/07/28,ESVUFR,
35,TW0003443008,3443,創意,上市,股票,半導體業,2006/11/03,ESVUFR,
36,TW0003450003,3450,聯鈞,上市,股票,半導體業,2006/04/12,ESVUFR,
37,TW0003530002,3530,晶相光,上市,股票,半導體業,2018/07/16,ESVUFR,
38,TW0003532008,3532,台勝科,上市,股票,半導體業,2007/12/10,ESVUFR,
39,TW0003536009,3536,誠創,上市,股票,半導體業,2008/04/30,ESVUFR,
40,TW0003545000,3545,敦泰,上市,股票,半導體業,2007/07/03,ESVUFR,
41,TW0003583001,3583,辛耘,上市,股票,半導體業,2013/03/12,ESVUFR,
42,TW0003588000,3588,通嘉,上市,股票,半導體業,2009/08/14,ESVUFR,
43,KYG022421088,3661,世芯-KY,上市,股票,半導體業,2014/10/28,ESVUFR,
44,TW0003686002,3686,達能,上市,股票,半導體業,2010/07/20,ESVUFR,
45,TW0003711008,3711,日月光投控,上市,股票,半導體業,2018/04/30,ESVUFR,
46,TW0004919006,4919,新唐,上市,股票,半導體業,2010/09/27,ESVUFR,
47,TW0004952007,4952,凌通,上市,股票,半導體業,2011/11/01,ESVUFR,
48,TW0004961008,4961,天鈺,上市,股票,半導體業,2018/10/17,ESVUFR,
49,TW0004967005,4967,十銓,上市,股票,半導體業,2019/01/14,ESVUFR,
50,TW0004968003,4968,立積,上市,股票,半導體業,2015/11/13,ESVUFR,
51,TW0005222004,5222,全訊,上市,股票,半導體業,2021/10/25,ESVUFR,
52,TW0005269005,5269,祥碩,上市,股票,半導體業,2012/12/12,ESVUFR,
53,TW0005285001,5285,界霖,上市,股票,半導體業,2014/02/25,ESVUFR,
54,TW0005471007,5471,松翰,上市,股票,半導體業,2003/08/25,ESVUFR,
55,TW0006202005,6202,盛群,上市,股票,半導體業,2004/09/27,ESVUFR,
56,TW0006239007,6239,力成,上市,股票,半導體業,2004/11/08,ESVUFR,
57,TW0006243009,6243,迅杰,上市,股票,半導體業,2009/12/17,ESVUFR,
58,TW0006257009,6257,矽格,上市,股票,半導體業,2003/08/25,ESVUFR,
59,TW0006271000,6271,同欣電,上市,股票,半導體業,2007/11/16,ESVUFR,
60,KYG8190F1028,6415,矽力-KY,上市,股票,半導體業,2013/12/12,ESVUFR,
61,KYG811801045,6451,訊芯-KY,上市,股票,半導體業,2015/01/26,ESVUFR,
62,TW0006515000,6515,穎崴,上市,股票,半導體業,2021/01/20,ESVUFR,
63,KYG3790U1040,6525,捷敏-KY,上市,股票,半導體業,2016/04/12,ESVUFR,
64,TW0006531007,6531,愛普*,上市,股票,半導體業,2016/05/31,ESVUFR,
65,TW0006533003,6533,晶心科,上市,股票,半導體業,2017/03/14,ESVUFR,
66,TW0006552003,6552,易華電,上市,股票,半導體業,2017/01/10,ESVUFR,
67,KYG4712A1013,6573,虹揚-KY,上市,股票,半導體業,2017/09/26,ESVUFR,
68,TW0006756000,6756,威鋒電子,上市,股票,半導體業,2020/12/24,ESVUFR,
69,TW0008016007,8016,矽創,上市,股票,半導體業,2003/12/25,ESVUFR,
70,TW0008028002,8028,昇陽半導體,上市,股票,半導體業,2018/07/10,ESVUFR,
71,TW0008081001,8081,致新,上市,股票,半導體業,2008/12/30,ESVUFR,
72,TW0008110008,8110,華東,上市,股票,半導體業,2007/10/31,ESVUFR,
73,TW0008131004,8131,福懋科,上市,股票,半導體業,2007/11/29,ESVUFR,
74,TW0008150004,8150,南茂,上市,股票,半導體業,2014/04/11,ESVUFR,
75,TW0008261009,8261,富鼎,上市,股票,半導體業,2009/12/11,ESVUFR,
76,TW0008271008,8271,宇瞻,上市,股票,半導體業,2010/12/29,ESVUFR,
