頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001402006,1402,遠東新,上市,股票,紡織纖維,1967/04/14,ESVUFR,
2,TW0001409001,1409,新纖,上市,股票,紡織纖維,1973/08/31,ESVUFR,
3,TW0001410009,1410,南染,上市,股票,紡織纖維,1973/10/18,ESVUFR,
4,TW0001413003,1413,宏洲,上市,股票,紡織纖維,1975/12/23,ESVUFR,
5,TW0001414001,1414,東和,上市,股票,紡織纖維,1976/02/02,ESVUFR,
6,TW0001417004,1417,嘉裕,上市,股票,紡織纖維,1976/12/28,ESVUFR,
7,TW0001418002,1418,東華,上市,股票,紡織纖維,1977/02/14,ESVUFR,
8,TW0001419000,1419,新紡,上市,股票,紡織纖維,1977/03/14,ESVUFR,
9,TW0001423002,1423,利華,上市,股票,紡織纖維,1979/04/02,ESVUFR,
10,TW0001434009,1434,福懋,上市,股票,紡織纖維,1985/12/24,ESVUFR,
11,TW0001439008,1439,中和,上市,股票,紡織纖維,1989/05/22,ESVUFR,
12,TW0001440006,1440,南紡,上市,股票,紡織纖維,1989/10/03,ESVUFR,
13,TW0001441004,1441,大東,上市,股票,紡織纖維,1989/10/27,ESVUFR,
14,TW0001444008,1444,力麗,上市,股票,紡織纖維,1990/08/08,ESVUFR,
15,TW0001445005,1445,大宇,上市,股票,紡織纖維,1991/02/05,ESVUFR,
16,TW0001446003,1446,宏和,上市,股票,紡織纖維,1991/10/15,ESVUFR,
17,TW0001447001,1447,力鵬,上市,股票,紡織纖維,1992/01/28,ESVUFR,
18,TW0001449007,1449,佳和,上市,股票,紡織纖維,1992/03/12,ESVUFR,
19,TW0001451003,1451,年興,上市,股票,紡織纖維,1992/12/21,ESVUFR,
20,TW0001452001,1452,宏益,上市,股票,紡織纖維,1992/12/28,ESVUFR,
21,TW0001454007,1454,台富,上市,股票,紡織纖維,1993/05/07,ESVUFR,
22,TW0001455004,1455,集盛,上市,股票,紡織纖維,1993/10/07,ESVUFR,
23,TW0001457000,1457,宜進,上市,股票,紡織纖維,1994/10/20,ESVUFR,
24,TW0001459006,1459,聯發,上市,股票,紡織纖維,1994/10/26,ESVUFR,
25,TW0001460004,1460,宏遠,上市,股票,紡織纖維,1995/04/28,ESVUFR,
26,TW0001463008,1463,強盛,上市,股票,紡織纖維,1996/12/05,ESVUFR,
27,TW0001464006,1464,得力,上市,股票,紡織纖維,1997/01/18,ESVUFR,
28,TW0001465003,1465,偉全,上市,股票,紡織纖維,1997/09/08,ESVUFR,
29,TW0001466001,1466,聚隆,上市,股票,紡織纖維,1998/04/04,ESVUFR,
30,TW0001467009,1467,南緯,上市,股票,紡織纖維,1998/12/21,ESVUFR,
31,TW0001468007,1468,昶和,上市,股票,紡織纖維,1999/01/21,ESVUFR,
32,TW0001470003,1470,大統新創,上市,股票,紡織纖維,1999/05/21,ESVUFR,
33,TW0001472009,1472,三洋實業,上市,股票,紡織纖維,2000/09/11,ESVUFR,
34,TW0001473007,1473,台南,上市,股票,紡織纖維,2000/09/11,ESVUFR,
35,TW0001474005,1474,弘裕,上市,股票,紡織纖維,2000/10/31,ESVUFR,
36,TW0001475002,1475,業旺,上市,股票,紡織纖維,2000/10/27,ESVUFR,
37,TW0001476000,1476,儒鴻,上市,股票,紡織纖維,2001/04/18,ESVUFR,
38,TW0001477008,1477,聚陽,上市,股票,紡織纖維,2003/01/21,ESVUFR,
39,TW0004414008,4414,如興,上市,股票,紡織纖維,2004/09/06,ESVUFR,
40,TW0004426002,4426,利勤,上市,股票,紡織纖維,2011/12/16,ESVUFR,
41,TW0004438007,4438,廣越,上市,股票,紡織纖維,2016/10/18,ESVUFR,
42,KYG9114F1037,4439,冠星-KY,上市,股票,紡織纖維,2019/12/05,ESVUFR,
43,TW0004440003,4440,宜新實業,上市,股票,紡織纖維,2021/10/25,ESVUFR,
